# Truth table
# Generated from circuit main
# Exported on Sun Aug 02 03:23:34 GMT+03:30 2026

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a ‘#’ is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * ‘Name[N..0]’ indicates an N+1 bit variable, whereas
#   ‘Name’ by itself indicates a 1-bit variable.
# * You can use ‘x’ or ‘-’ to indicate “don’t care” for both
#   input and output bits.
# * You can use binary (e.g., ‘10100011xxxx’) notation or
#   or hex (e.g., ‘C3x’). Logisim will figure out which is which.

Cin a3 b3 a2 b2 a1 b1 a0 b0 | Cout s3 s2 s1 s0
 1  1  0  0  1  1  1  0  1  |  1   0  0  1  1 
 1  1  0  0  1  1  1  1  0  |  1   0  1  0  1 
 1  1  0  0  1  1  1  1  1  |  1   0  1  0  0 
 1  1  0  1  0  0  0  0  0  |  1   1  1  0  0 
 1  1  0  1  0  0  0  0  1  |  1   1  0  1  1 
 1  1  0  1  0  0  0  1  0  |  1   1  1  0  1 
 1  1  0  1  0  0  0  1  1  |  1   1  1  0  0 
 1  1  0  1  0  0  1  0  0  |  1   1  0  1  0 
 1  1  0  1  0  0  1  0  1  |  1   1  0  0  1 
 1  1  0  1  0  0  1  1  0  |  1   1  0  1  1 
 1  1  0  1  0  0  1  1  1  |  1   1  0  1  0 
 1  1  0  1  0  1  0  0  0  |  1   1  1  1  0 
 1  1  0  1  0  1  0  0  1  |  1   1  1  0  1 
 1  1  0  1  0  1  0  1  0  |  1   1  1  1  1 
 1  1  0  1  0  1  0  1  1  |  1   1  1  1  0 
 1  1  0  1  0  1  1  0  0  |  1   1  1  0  0 
 1  1  0  1  0  1  1  0  1  |  1   1  0  1  1 
 1  1  0  1  0  1  1  1  0  |  1   1  1  0  1 
 1  1  0  1  0  1  1  1  1  |  1   1  1  0  0 
 1  1  0  1  1  0  0  0  0  |  1   1  0  0  0 
 1  1  0  1  1  0  0  0  1  |  1   0  1  1  1 
 1  1  0  1  1  0  0  1  0  |  1   1  0  0  1 
 1  1  0  1  1  0  0  1  1  |  1   1  0  0  0 
 1  1  0  1  1  0  1  0  0  |  1   0  1  1  0 
 1  1  0  1  1  0  1  0  1  |  1   0  1  0  1 
 1  1  0  1  1  0  1  1  0  |  1   0  1  1  1 
 1  1  0  1  1  0  1  1  1  |  1   0  1  1  0 
 1  1  0  1  1  1  0  0  0  |  1   1  0  1  0 
 1  1  0  1  1  1  0  0  1  |  1   1  0  0  1 
 1  1  0  1  1  1  0  1  0  |  1   1  0  1  1 
 1  1  0  1  1  1  0  1  1  |  1   1  0  1  0 
 1  1  0  1  1  1  1  0  0  |  1   1  0  0  0 
 1  1  0  1  1  1  1  0  1  |  1   0  1  1  1 
 1  1  0  1  1  1  1  1  0  |  1   1  0  0  1 
 1  1  0  1  1  1  1  1  1  |  1   1  0  0  0 
 1  1  1  0  0  0  0  0  0  |  1   0  0  0  0 
 1  1  1  0  0  0  0  0  1  |  0   1  1  1  1 
 1  1  1  0  0  0  0  1  0  |  1   0  0  0  1 
 1  1  1  0  0  0  0  1  1  |  1   0  0  0  0 
 1  1  1  0  0  0  1  0  0  |  0   1  1  1  0 
 1  1  1  0  0  0  1  0  1  |  0   1  1  0  1 
 1  1  1  0  0  0  1  1  0  |  0   1  1  1  1 
 1  1  1  0  0  0  1  1  1  |  0   1  1  1  0 
 1  1  1  0  0  1  0  0  0  |  1   0  0  1  0 
 1  1  1  0  0  1  0  0  1  |  1   0  0  0  1 
 1  1  1  0  0  1  0  1  0  |  1   0  0  1  1 
 1  1  1  0  0  1  0  1  1  |  1   0  0  1  0 
 1  1  1  0  0  1  1  0  0  |  1   0  0  0  0 
 1  1  1  0  0  1  1  0  1  |  0   1  1  1  1 
 1  1  1  0  0  1  1  1  0  |  1   0  0  0  1 
 1  1  1  0  0  1  1  1  1  |  1   0  0  0  0 
 1  1  1  0  1  0  0  0  0  |  0   1  1  0  0 
 1  1  1  0  1  0  0  0  1  |  0   1  0  1  1 
 1  1  1  0  1  0  0  1  0  |  0   1  1  0  1 
 1  1  1  0  1  0  0  1  1  |  0   1  1  0  0 
 1  1  1  0  1  0  1  0  0  |  0   1  0  1  0 
 1  1  1  0  1  0  1  0  1  |  0   1  0  0  1 
 1  1  1  0  1  0  1  1  0  |  0   1  0  1  1 
 1  1  1  0  1  0  1  1  1  |  0   1  0  1  0 
 1  1  1  0  1  1  0  0  0  |  0   1  1  1  0 
 1  1  1  0  1  1  0  0  1  |  0   1  1  0  1 
 1  1  1  0  1  1  0  1  0  |  0   1  1  1  1 
 1  1  1  0  1  1  0  1  1  |  0   1  1  1  0 
 1  1  1  0  1  1  1  0  0  |  0   1  1  0  0 
 1  1  1  0  1  1  1  0  1  |  0   1  0  1  1 
 1  1  1  0  1  1  1  1  0  |  0   1  1  0  1 
 1  1  1  0  1  1  1  1  1  |  0   1  1  0  0 
 1  1  1  1  0  0  0  0  0  |  1   0  1  0  0 
 1  1  1  1  0  0  0  0  1  |  1   0  0  1  1 
 1  1  1  1  0  0  0  1  0  |  1   0  1  0  1 
 1  1  1  1  0  0  0  1  1  |  1   0  1  0  0 
 1  1  1  1  0  0  1  0  0  |  1   0  0  1  0 
 1  1  1  1  0  0  1  0  1  |  1   0  0  0  1 
 1  1  1  1  0  0  1  1  0  |  1   0  0  1  1 
 1  1  1  1  0  0  1  1  1  |  1   0  0  1  0 
 1  1  1  1  0  1  0  0  0  |  1   0  1  1  0 
 1  1  1  1  0  1  0  0  1  |  1   0  1  0  1 
 1  1  1  1  0  1  0  1  0  |  1   0  1  1  1 
 1  1  1  1  0  1  0  1  1  |  1   0  1  1  0 
 1  1  1  1  0  1  1  0  0  |  1   0  1  0  0 
 1  1  1  1  0  1  1  0  1  |  1   0  0  1  1 
 1  1  1  1  0  1  1  1  0  |  1   0  1  0  1 
 1  1  1  1  0  1  1  1  1  |  1   0  1  0  0 
 1  1  1  1  1  0  0  0  0  |  1   0  0  0  0 
 1  1  1  1  1  0  0  0  1  |  0   1  1  1  1 
 1  1  1  1  1  0  0  1  0  |  1   0  0  0  1 
 1  1  1  1  1  0  0  1  1  |  1   0  0  0  0 
 1  1  1  1  1  0  1  0  0  |  0   1  1  1  0 
 1  1  1  1  1  0  1  0  1  |  0   1  1  0  1 
 1  1  1  1  1  0  1  1  0  |  0   1  1  1  1 
 1  1  1  1  1  0  1  1  1  |  0   1  1  1  0 
 1  1  1  1  1  1  0  0  0  |  1   0  0  1  0 
 1  1  1  1  1  1  0  0  1  |  1   0  0  0  1 
 1  1  1  1  1  1  0  1  0  |  1   0  0  1  1 
 1  1  1  1  1  1  0  1  1  |  1   0  0  1  0 
 1  1  1  1  1  1  1  0  0  |  1   0  0  0  0 
 1  1  1  1  1  1  1  0  1  |  0   1  1  1  1 
 1  1  1  1  1  1  1  1  0  |  1   0  0  0  1 
 1  1  1  1  1  1  1  1  1  |  1   0  0  0  0 
